Kabupaten_Kota,Tingkat_Penduduk_Miskin,Rata-rata Lama Sekolah,Indeks Pembangunan Gender,Usia Harapan Hidup,PengeluaranPerKapita,Harapan Lama Sekolah,Produk Domestik Regional Bruto,Indeks Kemahalan Konstruksi,PengeluaranPerkapita_Rokok
Tulangbawang,7.88,7.65,90.33,70.56,12122,12.3,30499.19,90.65,24279
Pesawaran,11.86,8,88.32,70.13,9190,12.63,21666.78,85.36,25400
Pringsewu,8.32,8.53,93.03,71.21,11543,12.93,15098.16,88.05,19958
Mesuji,6.31,7.21,85.11,69.04,9454,11.82,14153.34,92.43,24873
Tulang Bawang Barat,7.22,7.8,89.1,70.64,9646,12.12,15594.89,93.52,26027
Pesisir Barat,12.64,8.73,94.48,64.69,9550,12.16,6138.24,95.14,35613
Kota Bandar Lampung,7.37,10.99,94.16,72.24,13667,14.73,79853,86.01,21751
Kota Metro,6.78,11.01,95.99,72.44,13092,14.79,8480.49,86.9,22206
Bangka,4.24,8.45,89.07,71.8,13205,13.12,20003.49,106.79,29229
Belitung,6.11,9.05,89.7,71.75,14449,12.09,14151.24,103.8,28685
Bangka Barat,2.59,7.48,90.35,70.59,13199,11.79,19684.3,104.98,34830
Bangka Tengah,5.94,7.24,91.96,72.36,13677,12.15,11815.1,102.59,30449
Bangka Selatan,3.74,6.93,85.25,69.24,12718,11.71,12028.98,104.17,29983
Belitung Timur,6.36,8.99,87.69,72.85,12610,11.69,10973.33,105.22,41665
Kota Pangkal Pinang,4.04,10.67,93.82,74.24,16750,13.3,18939.59,110.21,24347
Karimun,5.78,8.91,91.61,72.2,13287,12.62,18330.9,108.15,22476
Bintan,5.44,9.15,94.05,71.21,15078,13.45,30365.73,105.63,19541
Natuna,5.04,9.2,91.82,66.41,15560,13.94,22692.67,116.22,23574
Lingga,9.99,7.6,91.12,63.73,12906,12.65,5603.83,111.31,19417
Kepulauan Anambas,6.67,7.53,91.58,68.37,12983,13.06,18005.12,126.75,34353
