Kabupaten_Kota,Tingkat_Penduduk_Miskin,Rata-rata Lama Sekolah,Indeks Pembangunan Gender,Usia Harapan Hidup,PengeluaranPerKapita,Harapan Lama Sekolah,Produk Domestik Regional Bruto,Indeks Kemahalan Konstruksi,PengeluaranPerkapita_Rokok
Kota Samarinda,4.3,10.95,90.36,74.9,16160,15.4,98414.87,107.21,18389
Kota Bontang,3.74,10.97,88.35,74.88,18394,13.73,68418.31,118.4,15466
Malinau,6.94,9.63,83.06,71.53,11190,13.35,18207.27,103.83,29290
Bulungan,8.76,9.23,86.03,72.81,10581,13.25,25752.4,109.68,24605
Tana Tidung,4.47,9.24,79.56,71.57,8707,12.61,9297.34,105.9,23824
Nunukan,5.73,8.39,84.5,71.44,8265,12.69,40543.37,107.83,22420
Kota Tarakan,5.56,10.37,92.79,74.11,12451,14.22,56213.8,110.5,19905
Bolaang Mongondow,7.74,8.38,89.12,70.31,11507,11.65,11515.68,95.66,29488
Minahasa,6.53,10.23,96.88,72.11,13681,14.19,24046.51,99.4,20579
Kepulauan Sangihe,10.84,8.65,95.82,70.99,12409,12.61,6169.06,107.88,15007
Kepulauan Talaud,8.17,9.96,98.2,71.21,9512,12.67,3097.95,119.96,14954
Minahasa Selatan,8.97,9.43,89.76,70.94,12529,13.02,12603.99,98.06,16259
Minahasa Utara,6.95,10.35,96.62,72.27,12412,13.08,20381.67,104.99,15675
Bolaang Mongondow Utara,7.88,8.61,87.86,68.56,10170,12.39,3544.12,91.43,21988
Siau Tagulandang Biaro,8.32,9.43,89.44,71.87,9062,12.04,3390.53,111.92,18388
Minahasa Tenggara,11.72,9.14,92.84,71.17,11511,12.6,7354.83,97.07,18989
Bolaang Mongondow Selatan,11.33,8.28,81.59,65.11,10114,12.34,2974.36,92.21,24825
Bolaang Mongondow Timur,5.87,8.29,91.76,68.73,10191,11.91,4170.2,97.49,33267
Kota Manado,5.43,11.46,96.86,72.78,15301,14.2,53015.01,104.66,19981
Kota Bitung,6.27,9.96,94.81,71.95,13539,12.67,24752.02,97.34,23412
Kota Tomohon,5.38,11.03,99.56,73.17,13045,14.38,5879.93,99.69,19246
Kota Kotamobagu,5.12,10.35,95.64,71.63,12074,13.05,5214.65,97.72,25857
Banggai Kepulauan,12.32,8.7,92.86,67.08,8375,13.11,5377.32,94.27,19489
Banggai,6.56,8.81,91.73,71.09,10772,13.35,40737.03,97.81,22097
Morowali,11.55,9.38,85.42,69.41,12281,13.39,173865,104.11,41904
Poso,14.23,9.54,97.23,71.34,9948,13.75,12738.41,92.44,20907
Donggala,15.3,8,89.5,68.01,9117,12.62,16527.22,86.67,21891
Toli-Toli,12.45,8.91,90.6,67.03,8918,13.17,11074.94,92.06,17977
Buol,13.08,9.2,90.22,69.99,9051,13.18,7791,90.82,24447
Parigi Moutong,14.2,8.05,92.66,64.66,10846,12.52,23475.94,86.43,23090
Tojo Una-Una,16.36,8.56,92.02,66.6,8863,12.43,7354.21,87.91,23875
Sigi,12.06,9.04,94.37,70.48,9254,13.13,12562.35,79.28,22247
Banggai Laut,13.78,8.65,92.73,66.31,8776,13.04,3223.42,96.18,20980
Morowali Utara,11.95,9.13,97.06,70.06,10032,12.44,30233.51,103.88,33477
Kota Palu,5.94,11.75,98.57,71.56,15941,16.52,32918.74,85.25,16326
Kepulauan Selayar,10.79,8.49,92.39,69.26,10235,12.84,8340.51,98.85,20710
Bulukumba,6.71,8.52,96,69,11807,13.45,20224.35,95.11,16192
Bantaeng,8.26,7.26,95.33,71.3,12719,12.79,13451.36,93.7,22413
Jeneponto,11.82,7.01,92.39,67.16,10158,12.14,13057.09,96.27,17490
Takalar,7.75,7.73,88.24,68.11,11679,12.5,13428.09,93.14,16285
Gowa,6.85,8.53,88.91,71.06,10700,13.71,30748.66,95.17,23362
Sinjai,7.82,7.82,98.3,68.13,10665,13.27,15974.77,91.19,15249
Maros,9.32,8.05,89.61,69.68,12209,13.51,28624,96.64,20450
Pangkajene Dan Kepulauan,12.41,8.47,91.35,67.59,12643,12.81,34607.22,91.49,17576
Barru,8.31,8.8,95.74,69.73,12058,13.63,9891.13,92.49,17556
Bone,9.58,7.55,93.63,68.1,10084,13.02,50015.24,97.16,15637
Soppeng,6.9,8.45,97.34,70.79,10547,13.22,16099.18,95.82,17053
Wajo,6.47,7.46,90.65,68.32,13608,13.32,25954.22,95.05,21433
Sidenreng Rappang,5.02,8.21,92.6,71.03,13209,13.03,19614.67,91.49,24503
Pinrang,8.55,8.53,95.86,70.65,13010,13.28,26653.4,93.05,17145
Enrekang,11.25,9.11,98.14,71.51,12138,13.88,10467.33,97.92,19234
Luwu,11.7,8.81,92.83,71.23,11121,13.43,22952.23,101.41,19862
Tana Toraja,10.79,8.77,89.05,74.23,8319,14.1,10158.53,99.64,15540
Luwu Utara,11.24,8.37,90.33,69.67,12866,12.61,19688.66,99.17,26885
Luwu Timur,6.55,8.94,90.44,71.42,13867,13.18,30391.94,102.25,26933
Toraja Utara,10.73,8.54,88.43,74,9292,13.43,13257.86,100.23,19251
Kota Makassar,4.97,11.57,94.99,72.78,18386,15.62,243062.7,96.06,16864
Kota Parepare,5.27,10.88,97.24,71.98,14928,14.55,9972.18,90.66,15900
Kota Palopo,7.35,11.16,97.58,71.6,14369,15.13,11083.92,99.31,23658
Buton,13.99,8.63,82.07,68.67,8401,13.89,5297.27,99.31,10780
Muna,13.78,8.71,88.37,70.67,9107,14.17,9489.41,91.8,9923
Konawe,13.25,9.69,93.81,70.52,11415,13.05,20747.72,87.71,23462
Kolaka,11.67,9.38,90.42,71.56,13534,13.04,38163.39,88.35,20787
Konawe Selatan,11.2,8.76,88.61,71.1,10250,12.79,17760.39,92.73,18192
Bombana,10.54,8.1,86.08,69.49,9692,11.91,9155.32,94.69,24754
Wakatobi,14.36,8.53,89.58,70.87,10739,13.53,6139.54,109.48,15901
Kolaka Utara,13.51,8.82,98.72,70.56,11650,12.22,12280.7,92.14,25319
Buton Utara,14.09,9.24,92.53,71.09,8746,13.32,4274.35,99.85,16582
Konawe Utara,13.17,9.61,87.38,69.78,10658,13.13,5707.11,95.66,31178
Kolaka Timur,13.71,8.43,99.26,73.13,9012,12.71,6137.26,88.47,20349
Konawe Kepulauan,15.54,9.46,86.43,68.6,7996,12.55,1972.34,95.91,26022
Muna Barat,13.38,8.09,89.71,70.55,8458,12.74,3541.18,91.91,15170
Buton Tengah,14.4,7.35,83.79,68.03,8434,13.22,3170.06,103.09,9701
Buton Selatan,14.28,7.75,74.51,67.97,8386,13.36,3826.6,98.8,8340
Kota Kendari,4.23,12.55,95.14,74.23,15651,16.92,30020.83,87.53,16859
Kota Baubau,7.4,11.03,91.35,71.67,11755,15.53,12204.79,95.6,12651
Boalemo,17.83,7.31,83.61,70.11,10401,12.49,6983.74,101.37,21426
Gorontalo,16.43,7.95,84,68.23,10645,13.22,17095.53,97.5,17966
Pohuwato,17.11,7.78,92.39,65.18,11618,12.48,8579.42,95.33,21603
Bone Bolango,14.8,8.52,89.26,69.49,11717,13.69,6049.22,94.7,19564
Gorontalo Utara,16.86,7.4,82.8,66.95,10476,12.5,4414.26,94.71,23667
Kota Gorontalo,5.74,10.41,88.47,73.55,13860,14.59,11236.71,95.64,19574
Majene,13.64,9.46,95.16,62.89,10909,13.72,6495.83,85.05,10112
Polewali Mandar,15.66,7.72,92.25,63.46,9536,13.5,17770.78,84.07,21800
Mamasa,14.2,8.13,98.37,71.58,8415,12.6,3771.84,105.24,12943
Mamuju,7.15,8.35,90.92,69.02,10440,13.29,16024.07,89.76,20536
Mamuju Utara,5.21,8.13,86.14,67.66,12190,12.09,15578.92,97.28,33473
Mamuju Tengah,7.72,7.94,86.74,69.68,9250,12.68,4554.87,90.07,21343
Maluku Tenggara Barat,23.66,9.92,87.55,64.11,7091,12.34,3618.17,111.8,11218
Maluku Tenggara,21.22,9.84,96.78,66.02,8553,12.91,4408.47,110.87,16059
Maluku Tengah,17.67,9.79,98.33,67.26,11183,14.67,11454.45,100.76,19292
Buru,16.08,9.02,91.82,67.21,11261,13.24,3167.11,100.55,29741
Kepulauan Aru,23.39,9.21,89.52,63.76,8488,12.37,4761.49,110.07,14554
Seram Bagian Barat,22.31,9.59,98.4,62.9,9706,13.7,4077.23,101.88,15310
Seram Bagian Timur,21.03,9,88.83,60.8,10049,12.92,3683.51,101.03,15076
Maluku Barat Daya,27.95,9.13,90.65,63.7,7600,12.71,3197.15,119.46,8891
Buru Selatan,14.91,8.48,87.26,67.15,8474,12.85,1886.86,106.08,12664
Kota Ambon,5.13,12.24,97.95,71.62,15196,16.08,19835.88,100.41,20799
Kota Tual,20.01,10.67,88.82,67.01,8238,14.02,3417.23,110.62,15872
Halmahera Barat,8.75,8.59,89.3,67.13,8426,13.25,2947.03,107.49,22791
Halmahera Tengah,10.71,9.2,90.6,65.35,9140,13.52,32302.24,116.67,47983
Kepulauan Sula,7.96,9.17,93.19,64.22,8020,12.98,3378.21,122.44,14162
Halmahera Selatan,5.63,8.42,87.79,66.71,8210,13.04,21047.79,105.72,26382
Halmahera Utara,4.71,8.67,90.25,70.35,8607,13.69,7180.76,108.77,19822
Halmahera Timur,11.91,8.88,82.69,70.04,8999,12.89,5395.88,114.43,35162
Pulau Morotai,5.11,7.73,72.61,68.39,7523,13.02,2028.83,120.55,19925
Pulau Taliabu,7.13,7.99,84.93,63.05,7226,12.88,2110.6,114.13,25791
Kota Ternate,3.14,12.08,92.24,71.98,14731,15.92,15212.53,122.4,32158
Kota Tidore Kepulauan,6.56,10.12,96.59,70.22,9269,14.49,3851.61,109.84,33564
Fakfak,20.86,9.32,84.45,69.16,8159,14.79,6310.53,121.38,34753
Kaimana,14.41,8.97,84.88,65.86,9242,12.51,3095.88,120.34,25682
Teluk Wondama,28.47,7.38,80.36,61.08,8887,11.91,1856.1,115.25,31632
Teluk Bintuni,26.99,8.67,86.63,62.04,10592,12.62,52360.36,130.92,36416
Manokwari,18.45,8.67,85.37,69.8,13008,13.79,11326.6,113.78,30723
Manokwari Selatan,26.83,7.17,67.91,68.26,6139,12.78,1018.12,121.72,28698
Pegunungan Arfak,31.76,5.72,79.96,67.84,5722,11.8,359.21,153.69,27419
Raja Ampat,15.83,8.4,79.58,65.56,8761,12.12,4103.89,123.94,33316
Sorong,25.71,8.74,86.89,67.12,8283,14.08,12449.8,116.59,6655
Sorong Selatan,17.83,7.76,84.04,67.14,6928,13.29,2339.03,118.81,29541
Maybrat,29.18,7.44,79.46,65.97,5824,13.51,863.41,130.71,20091
Tambrauw,29.88,5.89,71.22,61.35,5489,12.45,304.95,130.55,31858
Kota Sorong,13.67,11.57,92.17,71.97,14368,14.43,17127.37,113.71,19094
Jayapura,11.6,10.57,91.63,68.08,10848,14.59,20429.12,110.3,19813
Kepulauan Yapen,25.69,9.71,89.94,69.83,8409,12.82,5274.71,132.2,37408
Biak Numfor,23.46,10.55,91.36,68.97,10600,14.24,6557.13,128.26,20206
Sarmi,14.05,9.61,84.28,67.38,7499,12.38,3824.65,138.87,2794
Keerom,15.84,8.58,88.13,67.44,9967,12.52,3617.58,133.04,23932
Waropen,29.85,9.42,72.28,67.11,7569,12.85,2451.54,144.6,3753
Supiori,37.72,9.21,78.85,66.93,6474,13.2,1245.82,134.73,6613
Mamberamo Raya,30.29,6.49,83.53,58.71,5298,12.04,2305.49,175.63,7179
Kota Jayapura,10.72,12.07,94.72,71.41,15408,15.27,39814.97,125.66,11990
Merauke,10.19,9.37,89.83,67.77,11077,14.48,20349.76,138.95,28593
Boven Digoel,19.24,9.42,80.79,61.21,8616,11.67,5866.71,139.28,30667
Mappi,25.7,7.16,85.91,66.01,7068,11.29,3833.76,147.15,25028
Asmat,24.5,5.82,58.04,59.36,6262,9.71,3409.89,146.77,14044
Mimika,14.18,10.72,78.38,73.06,12487,13.16,146297.6,121.9,17412
Dogiyai,30.03,4.98,82.19,66.5,6755,10.63,1646.91,172.02,13293
Deiyai,39.01,3.29,72.05,66.07,5509,9.86,1767.09,180.72,1190
Nabire,24,10.42,91.48,69.02,9856,12.82,14968.19,125.32,34043
Paniai,37.07,4.81,70.36,67.38,7470,10.54,5338.66,177.76,13534
Intan Jaya,41.42,3.28,73.67,66.18,6463,7.7,1465.43,342.93,30172
Puncak,37.49,2.39,86.98,66.53,6363,5.6,1772.12,379.81,4936
Puncak Jaya,35.94,4.42,69.64,66.04,6091,7.53,1663.89,334.69,28530
Nduga,36.28,1.92,90.84,55.74,4597,4.45,1629.54,230.13,44834
Jayawijaya,32.28,5.99,86.08,60.65,8534,12.85,11448.01,242.78,20456
Lanny Jaya,34.12,3.83,94.41,66.62,5026,9.44,2493.09,257.73,9047
Tolikara,31.22,3.69,63.77,66.53,5653,9.03,2175.55,288.59,7015
Mamberamo Tengah,35.27,3.7,90.21,64.18,4943,9.78,1554.03,285.83,20283
Yalimo,30.02,3.55,86.44,66.12,5226,9.8,1708.8,243.53,42812
Yahukimo,33.82,4.35,76.67,66.55,5747,8.05,3157.26,169.54,16757
Pegunungan Bintang,28.95,3.51,82.99,65.17,6196,7.01,2527.83,302.53,31640
